Ordine delle domande 
 versione 	q1	q2	q3	q4	q5	q6	q7	q8	q9	q10	q11	q12	q13	q14	q15	q16	q17	q18	q19	q20	q21	q22	q23	q24	q25	q26	q27	q28	q29	q30	q31	q32	q33	q34	q35	q36	q37	q38	q39	q40	
15	20	40	6	3	26	1	5	10	32	36	33	12	25	4	31	18	13	28	34	39	8	27	35	17	21	24	11	22	29	23	7	16	37	15	2	9	30	19	38	14	
16	14	39	34	8	15	18	11	5	12	36	2	17	27	9	10	32	26	24	22	35	23	20	25	7	13	6	19	4	29	40	21	1	37	30	16	3	31	28	38	33	
17	29	39	11	5	28	12	21	7	16	3	10	32	33	20	38	35	22	19	6	13	36	2	26	9	24	31	1	37	25	17	34	40	15	8	14	18	27	30	23	4	
18	28	1	32	16	26	25	24	31	27	18	14	21	20	38	36	33	13	30	6	39	34	11	7	9	2	19	40	17	8	12	37	22	35	4	23	5	15	29	10	3	
19	37	19	25	26	35	40	20	27	23	1	11	6	5	32	34	2	38	16	12	3	8	24	21	7	14	39	13	17	33	28	31	18	30	36	22	15	29	4	9	10	
20	34	5	22	32	23	12	25	24	15	6	31	13	33	38	17	10	7	21	39	36	8	30	28	20	16	4	9	11	26	18	35	14	3	37	2	19	27	1	40	29	
21	1	24	2	7	33	15	40	13	25	31	5	11	22	16	28	27	20	8	19	39	38	14	12	29	17	36	26	10	30	32	9	23	35	3	34	4	21	6	18	37	
22	40	16	36	2	1	23	32	37	7	14	27	5	12	20	13	39	28	31	19	11	30	35	17	3	8	10	26	6	4	18	15	38	29	22	24	34	33	9	25	21	
23	28	6	15	3	11	9	7	18	1	40	24	33	37	31	29	13	16	19	14	39	17	26	30	23	35	12	38	21	25	20	36	2	32	4	8	34	10	22	27	5	
24	21	24	23	8	1	35	31	26	13	30	19	7	27	32	3	37	9	40	29	4	20	11	10	17	39	34	22	6	36	16	33	12	18	15	28	38	25	2	14	5	
25	10	40	1	13	36	32	26	16	6	30	21	28	7	3	35	14	9	15	27	33	22	23	18	39	37	31	24	34	4	5	12	29	25	17	11	20	38	19	2	8	
26	7	35	17	27	29	32	24	25	38	3	19	5	39	22	26	37	4	40	34	28	33	16	2	31	11	21	12	15	18	6	36	8	10	23	14	1	20	9	13	30	
27	34	4	27	24	3	13	31	39	22	33	21	5	7	9	11	40	6	16	20	23	26	19	28	25	38	2	36	35	29	1	8	37	14	30	17	15	10	18	12	32	
28	30	21	34	31	8	5	14	6	1	17	20	35	23	40	3	33	19	18	38	24	13	32	11	39	25	37	26	15	28	12	36	7	29	22	16	2	10	4	27	9	
29	35	33	29	21	40	10	36	17	12	26	6	2	8	1	22	5	20	16	37	11	30	25	13	18	23	19	4	15	28	14	39	3	32	9	7	31	27	34	38	24	
30	12	24	27	15	40	16	29	26	14	20	1	38	33	30	3	2	31	36	5	34	6	7	28	23	13	17	11	10	8	22	25	4	19	9	35	32	39	18	37	21	
31	9	33	34	4	32	27	11	28	18	40	36	38	24	2	30	13	37	35	3	14	39	22	26	8	17	23	29	31	7	15	10	16	1	25	12	21	6	5	20	19	
32	27	21	13	6	19	4	25	2	16	40	10	34	5	31	1	20	36	33	39	14	28	32	37	12	18	7	3	38	8	35	11	17	30	22	29	24	9	15	23	26	
