Lista delle soluzioni 
 versione 	q1	q2	q3	q4	q5	q6	q7	q8	q9	q10	q11	q12	q13	q14	q15	q16	q17	q18	q19	q20	q21	q22	q23	q24	q25	q26	q27	q28	q29	q30	q31	q32	q33	q34	q35	q36	q37	q38	q39	q40	
10	A	D	D	D	C	D	C	A	D	D	C	B	C	D	A	B	D	A	D	C	D	C	C	D	A	C	D	C	B	B	D	B	C	A	D	A	B	B	C	D	
11	A	D	B	B	D	D	A	D	D	D	A	C	D	B	B	B	A	B	C	B	B	D	A	A	B	C	A	C	C	A	D	A	A	B	A	A	A	D	A	A	
12	C	A	D	C	B	B	D	A	C	C	A	C	D	A	A	B	A	D	B	B	A	B	C	D	A	A	C	D	B	C	B	D	C	B	D	C	C	A	C	C	
13	B	A	D	A	A	C	C	B	A	B	D	C	B	B	A	A	C	C	A	D	B	C	B	C	B	B	D	C	B	C	D	A	B	D	B	D	C	D	C	C	
14	C	B	B	D	A	A	C	C	A	C	D	A	B	A	B	B	B	A	C	B	A	A	C	B	C	B	A	A	B	B	A	D	A	B	A	D	A	B	C	C	
15	D	C	C	B	A	A	D	A	A	A	A	D	C	A	D	D	C	A	B	C	C	D	C	C	B	C	C	A	A	A	B	C	C	C	B	A	B	D	A	A	
16	D	B	D	B	D	D	C	B	C	C	A	D	A	B	A	D	B	D	A	B	C	B	B	B	B	D	D	D	B	D	C	A	A	A	D	D	A	B	D	A	
17	D	B	D	C	D	B	D	C	A	D	C	A	D	B	D	B	D	B	B	B	D	D	C	D	C	C	D	A	C	B	A	A	D	B	C	D	D	B	D	B	
18	B	D	A	B	D	D	A	C	C	D	D	B	A	B	A	B	A	C	B	D	A	B	C	B	C	A	B	D	C	A	B	C	B	D	C	C	D	B	C	A	
19	D	D	D	A	B	A	A	B	C	B	B	A	D	B	A	A	D	A	D	C	A	B	B	D	B	D	C	B	A	D	C	B	D	C	A	B	B	C	A	B	
20	A	B	D	A	D	D	C	D	A	D	C	D	C	C	C	C	B	C	D	A	B	B	B	B	A	B	A	A	B	B	B	B	B	C	B	C	C	C	C	C	
21	D	A	D	C	A	B	D	A	B	B	B	C	B	C	B	B	C	A	A	A	A	A	A	B	A	C	B	C	B	D	D	D	C	C	C	B	D	B	C	A	
22	C	B	A	B	D	C	C	B	D	A	D	C	A	A	A	B	C	B	B	D	A	B	B	D	D	B	D	D	C	D	D	D	B	C	A	B	A	C	D	A	
23	A	C	B	A	B	C	D	B	C	C	A	C	D	B	B	C	C	B	C	A	D	A	D	B	D	C	D	D	D	A	D	C	D	A	A	B	A	C	D	C	
24	D	A	D	A	B	C	A	D	B	D	D	B	A	A	A	B	C	A	C	A	B	A	B	D	B	C	D	A	B	B	B	D	D	D	D	D	B	D	C	D	
25	B	A	C	A	A	A	B	C	D	D	C	B	C	A	D	D	A	D	C	C	C	A	B	D	D	A	C	C	D	D	C	C	B	D	C	A	C	D	A	A	
26	D	B	A	A	D	C	C	D	A	A	B	C	B	D	B	D	C	D	C	C	B	C	D	B	B	B	A	B	C	D	B	D	A	C	D	C	B	B	A	C	
27	C	B	C	B	D	C	C	B	A	C	B	C	B	C	B	C	A	C	D	C	A	D	C	C	A	D	C	C	C	D	B	C	C	D	C	B	A	A	B	D	
28	C	A	C	C	A	B	A	D	D	A	A	B	C	C	D	D	B	A	D	A	D	C	A	A	C	B	C	D	D	C	A	C	C	D	B	C	B	D	D	D	
29	B	B	C	A	B	B	C	D	D	B	B	C	C	A	C	A	A	A	B	A	B	D	A	C	C	B	D	C	D	C	B	C	D	C	B	A	A	D	B	C	
30	A	C	C	B	C	B	B	C	A	D	D	D	C	C	C	A	C	C	C	C	C	A	C	D	C	A	B	A	A	C	B	D	D	D	B	C	D	D	C	D	
31	D	D	B	D	C	C	C	C	B	B	B	B	A	C	C	A	D	C	C	C	A	A	C	D	A	A	C	A	A	C	D	C	A	A	C	B	C	C	C	C	
32	D	B	C	D	B	B	A	A	B	D	B	D	D	C	B	B	D	A	A	A	D	A	A	A	B	B	B	D	C	A	A	B	D	D	D	C	B	A	A	B	
